010;Công Ty TNHH Đại Việt;1800751328;307E/9, Hoàng Quốc Việt, KV4,P An Bình Q Ninh Kiều TP - Cần Thơ;;
0100001;Đào Đức Đại;;102/42A,Đường 3/2, P. Hưng Lợi, TP Cần Thơ;;
0100002;Vũ Thị Thuỷ;;102/42A,Đường 3/2, P. Hưng Lợi, TP Cần Thơ;;
0100003;Đào Thị Bẩy;;48C, Quốc lộ 91B P. An Khánh Quận Ninh Kiều TP - Cần Thơ;;
0100004;Lê Thị chúc Mai;;Tân Lập Tân Thành, Bình Tân ,Vĩnh Long;;
0100005;Lê Thị Hoàng Trân;;48C, Quốc lộ 91B P. An Khánh Quận Ninh Kiều TP - Cần Thơ;;
0100006;Nguyễn Văn Long;;48C, Quốc lộ 91B P. An Khánh Quận Ninh Kiều TP - Cần Thơ;;
0100007;Nguyễn Văn Tấn;;KV Tân Qui, P. Trường Lạc,Q.Ô Môn ,TP CThơ;;
0100008;Ngô Văn Khương;;102/42A,Đường 3/2, P. Hưng Lợi, TP Cần Thơ;;
0100009;Nguyễn Thị Lan;;48C, Quốc lộ 91B P. An Khánh Quận Ninh Kiều TP - Cần Thơ;;
0100010;Lê Thị Huỳnh Như;;307E/9 Hoàng Quốc Việt KV 4 P An Bình TP CT;;
020;CH VLXD Đại Việt Tại Phong Điền;1800751328-001;360 ấp Nhơn Thuận, Nhơn Nghĩa, H Phong Điền, TP-Cần Thơ;;
03;Tỉnh Hải Dương;;;;
0300001;Công Ty CP Tư Vấn & Xây Lắp Công Trình VINACOGI;0800854297;Lô 56-58 Khu Đô Thị Mới Tây, P. Tứ Minh, TP Hải Dương, Tỉnh Hải Dương;;
0300002;Công Ty CP Đầu Tư Và Phát Triển Đô Thị Hải Dương;0800000143;Số 244, Nguyễn Lương Bằng, P. Thanh Bình- TP Hải Dương- Hải Dương;;
0300003;Công ty Cổ Phần Xây Dựng Thủy Lợi Hải Dương;0800289084;Khu 11, Phường Ngọc Châu, TP- Hải Dương;;
0300004;Nguyễn Đình Thành;;114 Đức Minh, P Thành Bình, TP Hải Dương;;
04;;;;;
040;Hà Nội;;;;
0400001;Công Ty Liên Hợp Xây Dựng Vạn Cường;0500297165;33 Phan Chu Trinh, Q. Hoàn Kiếm , TP-Hà Nội;;
0400002;Công Ty Cổ Phần Công Trình Đường Thủy Vinawaco;0100109593;Số 159 Phố Thái Hà, P Láng Hạ, Q, Đống Đa, TP - Hà Nội;;
0400003;Tập Đoàn Viễn Thông Quân Đội;0100109106;Số 1 Trần Hữu Dực, Mỹ Đình, Từ Liêm, Hà Nội;;
0400005;CN CTy CPhần Kim Khí Hà Nội;01001003680251;137A Cộng Hoà , P12 Q, Tân Bình TP -HCM;;
0400006;CTy CP ĐTư Xây Dựng & PTNT;0100103785;40/120 Trường Chinh - Đống Đa - Hà Nội;;
0400007;Nguyễn Hoàng Sơn;;Hà nội;;
0400008;CTy CP Đầu Tư Xây Dựng CDC;0101684701;Số 96 Định Công , Phương Liệt, Thanh Xuân Hà Nội;;
0400009;Cty CP ĐT PT Hà Thành;0101115952;102, Thái Thịnh, Đống Đa, Hà Nội;;
0400010;CTy TNHH SX & TM Kim Đại Vương;0101416621;20 Ngõ 202 F, Đội Cấn, Hà Nội;;
0400011;Tổng CTy Cổ Phần Bưu Chính Viettel;0104093672;Số 1 Giang Văn Minh, P Kim Mã, Q Ba Đình, TPHN;;
0400012;CTy TNHH AN Ninh Mạng BKAV;0101360697;P105 B12, TT Kim Liên, P Kim Liên, Q đống đa, Hà Nội;;
0400013;Công Ty Cổ Phần Đầu Tư Xây Dựng Đại An;0101646022;Số 36B,Ngõ 41,Thái Hà, PTrung Liệt, QĐống Đa, HN;;
0400014;CTy CP đTư & PTriển Nhà Hà Nội Số 36;0101566190;Tòa nhà số 09, tổ 64, Trung Kính, Yên hòa Cầu Giấy Hà Nội;;
0400015;Công Ty Cổ Phần Tư Vấn XD  & Chuyển Giao Công Nghệ;0102722759;Số 2, Ngõ 162/34/9 Nguyễn Văn Cừ, P. Bồ Đề, Q. Long Biên, Hà Nội;;
0400016;Công Ty CP Đầu Tư TM Và  Xây Dựng Giao Thông 1;0100104732;Số 548 Nguyễn Văn Cừ, Q. Long Biên, TP Hà Nội;;
0400017;Công ty CP Đầu Tư và XD Giao Thông Phương Thành;0101511949;Số 18 Đường Giải Phóng, Quận Đống Đa, Hà Nội;;
0400018;Công Ty Cổ Phần Công Trình Đường Thủy Vinawaco;0100109593;Số 159 Phố Thái Hà, P Láng Hạ, Q, Đống Đa, TP - Hà Nội;;
0400019;Công Ty CP Đầu Tư TM Và  Xây Dựng Giao Thông 1;0100104732;Số 548 Nguyễn Văn Cừ, Q. Long Biên, TP Hà Nội;;
0400020;Tạp Chí Thuế;0100231226001;466 La Thành - Hà Nội;;
0400021;Công Ty CP Cung ứng Dịch Vụ Vật Tư Thiết Bị Công Trình;0102963666;113 Lô1, Khu Tái Định Cư, P. Long Biên, Q Long Biên, TP Hà Nội;;
0400022;Công Ty CP TV ĐT Và XD Hương Giang;0100821401;28/66 Tân Mai, Hoàng Mai, Hà Nội;;
0400023;Công Ty CP Giao Thông Hà Nội;0500453135;Km 15 + 500 QL6A, P. Yên Nghĩa, Q. Hà Đông, TP- Hà Nội;;
0400024;Công Ty Cổ Phần Cầu 12 -Cienco 1;0100104651;Số 463 Nguyễn Văn Linh, P. Phúc Đồng, Q Long Biên, TP Hà Nội;;
0400025;Công Ty CP Công Trình  Đường Thủy Vinawaco;0100109593;Số 159, Phố Thái Hà, P Láng Hạ, Q. Đống Đa, TP Hà Nội;;
0400026;Công Ty Cổ Phần Đầu Tư UDIC;0104406491;Số 24 Lô 1B, Khu Đô Thị Trung Yên, Cầu Giấy, Hà Nội;;
0400027;Công Ty CP Công Trình  Đường Thủy Vinawaco;0100109593;Số 159, Phố Thái Hà, P Láng Hạ, Q. Đống Đa, TP Hà Nội;;
0400028;Công Ty CP Công Trình  Đường Thủy Vinawaco;0100109593;Số 159, Phố Thái Hà, P Láng Hạ, Q. Đống Đa, TP Hà Nội;;
0400029;Công ty Cổ Phần Hàng Không VIETJET;0102325399;125 Trúc Bạch, Quận Ba Đình, Hà Nội;;
0400031;Công Ty CP Công Trình Đường Thủy Vinawaco;0100109593;Số 159 Phố Thái Hà, P Láng Hạ, Q. Đống Đa, TP Hà Nội;;
0400032;Công Ty Cổ Phần Cầu 12;0100104651;Số 463 Nguyễn Văn Linh, P Sài đồng, Q Long Biên, TP Hà Nội;;
0400033;Lương Văn Cường;;Hà Nội;;
0400034;Công ty Cổ Phần BKAV;0101360697;Tầng 2, tòa nhà HH1- Khu ĐT Yên Hòa, P. Yên Hòa, Q. Cầu Giấy TP_ Hà Nội;;
0400035;Tổng Công Ty 789;0100107613;Số 147 Hoàng Quốc Việt, Q. Cầu Giấy, TP- Hà Nội;;
0400036;Công Ty Cổ Phần Đầu Tư Xây Dựng Đại An;0101646022;Số 36B,Ngõ 41,Thái Hà, PTrung Liệt, QĐống Đa, HN;;
0400037;Công Ty Cổ Phần Đầu Tư Xây Dựng Đại An;0101646022;Số 36B,Ngõ 41,Thái Hà, PTrung Liệt, QĐống Đa, HN;;
0400038;Cty CP TV ĐT Và Chuyển Giao Công Nghệ Việt Nam;0101431098;Số 01 Ngõ 95, Phố Chùa Bộc, P. Trung Liệt, Q. Đống Đa, Hà Nôj;;
0400039;CôngTy CP Công Trình Đường Thủy Vinawaco;0100109593;Số 159 Phố Thái Hà, P Láng Hạ, Q. Đống Đa, TP Hà Nội;;
0400040;Công ty CP Đào Tạo và Tư Vấn Đầu Tư XD Hà Nội;0101657391;Kim Lữ, P. Đại Kim, Q. Hoàng Mai, TP- Hà Nội;;
0400041;Công Ty CP Xây Dựng Công Trình Thủy Hà Nội;0101708991;SN 43 Liên Cơ, Đ.Nguyễn Cơ Thạch, P.Cầu Diễn, Q.Nam Từ Liêm, TP Hà Nội;;
0400043;Công Ty Cổ Phần Cầu 12 - Cienco 1;0100104651;Số 463 Nguyễn Văn Linh - P. Phúc Đồng -Q. Long Biên- Hà Nội;;
0400044;Công ty Cổ Phần Constrexim  Số 1 ( Confitech);0101615761;Tầng 13 Tòa Nhà TTC- Phố Duy Tân-P.Dịch Vọng Hậu, Q.Cầu Giấy-TP-HN;;
0400046;Công ty TNHH Đầu Tư Phát Triển Kỹ Thuật Minh Long;0106154257;Số 29 ngõ 67 Nguyễn Văn Cừ, P. Ngọc Lâm, Q. Long Biên, TP Hà Nội;;
0400047;Công Ty Cổ Phần Cầu 12-Cienco 1;0100104651;Số 463 Nguyễn Văn Linh, P. Phúc Đồng, Q. Long Biên - TP Hà Nội;;
0400048;Công ty CP Xây Dựng Công Trình Thủy Hà Nội;0101708991;SN 43 Liên Cơ, Đ.Nguyễn Cơ Thạch, P.Cầu Diễn, Q.Nam Từ Liêm, TP Hà Nội;;
